lat,lon,bcm,mm3,operador,concesion
-38.57061,-69.44147,0.006878405902,6.88,PAMPA ENERGIA S.A.,EL MANGRULLO
-37.56853,-69.42095,0.019075252521,19.08,TECPETROL S.A.,LOS TOLDOS I NORTE
-38.55297,-69.41536,0.0,0.0,PAMPA ENERGIA S.A.,EL MANGRULLO
-37.47827,-69.37769,0.018325606254,18.33,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL - CURAMCHED
-37.40621,-69.37099,0.0040918082,4.09,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL - CURAMCHED
-37.4151,-69.35741,0.020131960521,20.13,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL - CURAMCHED
-38.56155,-69.33908,0.0012934164626,1.29,YPF S.A.,RINCON DEL MANGRULLO
-37.42725,-69.34032,0.007945680982,7.95,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL - CURAMCHED
-37.80232,-69.33859,0.0006554965195,0.66,PLUSPETROL CUENCA NEUQUINA S.R.L.,PAMPA DE LAS YEGUAS I
-38.71031,-69.33388,0.0,0.0,No asignado,
-37.37246,-69.28679,0.011849336452,11.85,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL - CURAMCHED
-38.55548,-69.29156,0.0014933955163,1.49,YPF S.A.,RINCON DEL MANGRULLO
-38.91734,-69.28215,0.007489975657,7.49,OILSTONE ENERGIA S.A.,LOMA NEGRA NI
-37.89504,-69.26868,0.007911983738,7.91,VACA MUERTA INVERSIONES SAU,RINCON LA CENIZA
-37.71223,-69.26521,0.007920437402,7.92,PLUSPETROL CUENCA NEUQUINA S.R.L.,LOS TOLDOS I SUR
-38.04828,-69.2457,0.0020978148805,2.1,PAMPA ENERGIA S.A.,SIERRA CHATA
-37.36894,-69.23902,0.0016017198275,1.6,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL - CURAMCHED
-38.12323,-69.23344,0.012689213841,12.69,PAMPA ENERGIA S.A.,SIERRA CHATA
-37.3444,-69.20584,0.0022972156801,2.3,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA
-37.47783,-69.20409,0.004721899698,4.72,CONTINENTAL RESOURCES ARGENTINA SAU.,LOS TOLDOS II OESTE
-37.97177,-69.18421,0.0014565046659,1.46,YPF S.A.,EL OREJANO
-38.90931,-69.17865,0.002264906833,2.26,BENTIA ENERGY S.A.,OCTOGONO
-37.41056,-69.16972,0.0015596628491,1.56,TECPETROL S.A.,LOS TOLDOS II ESTE
-38.38657,-69.15592,0.026909039867,26.91,TOTAL AUSTRAL S.A.,AGUADA PICHANA ESTE
-37.71196,-69.14071,0.012241874121,12.24,PLUSPETROL CUENCA NEUQUINA S.R.L.,BAJO DEL CHOIQUE - LA INVERNADA
-38.22944,-69.1412,0.0019877880953,1.99,YPF S.A.,AGUADA DE LA ARENA
-37.47813,-69.13242,0.0,0.0,TECPETROL S.A.,LOS TOLDOS II ESTE
-38.90998,-69.10369,0.0,0.0,BENTIA ENERGY S.A.,DADIN
-37.42426,-69.09452,0.0,0.0,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA
-37.52754,-69.0912,0.04900688821,49.01,YPF S.A.,BAJO DEL TORO NORTE
-38.19181,-69.09256,0.014965216108,14.97,YPF S.A.,AGUADA DE LA ARENA
-38.11453,-69.07836,0.0010796444342,1.08,SHELL ARGENTINA S.A.,BAJADA DE AÑELO
-37.68501,-69.07426,0.00422008081,4.22,VISTA ENERGY ARGENTINA SAU,AGUILA MORA
-38.3451,-69.0632,0.010299908994,10.3,PLUSPETROL S.A.,LA CALERA
-38.33228,-69.05612,0.09420023466,94.2,PLUSPETROL S.A.,LA CALERA
-38.85322,-69.05491,0.00020462387242,0.2,BENTIA ENERGY S.A.,AL NORTE DE LA DORSAL
-38.46543,-69.04916,0.023490883017,23.49,TECPETROL S.A.,FORTIN DE PIEDRA
-38.30396,-69.04109,0.0,0.0,PLUSPETROL S.A.,LA CALERA
-38.45616,-69.03284,0.010412419043,10.41,TECPETROL S.A.,FORTIN DE PIEDRA
-38.47329,-69.03064,0.00535633544,5.36,TECPETROL S.A.,FORTIN DE PIEDRA
-37.33397,-69.02813,0.007282068358,7.28,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA
-38.42819,-69.00767,0.014099654844,14.1,YPF S.A.,LA RIBERA BLOQUE I
-38.36694,-68.98877,0.020699089834,20.7,PLUSPETROL S.A.,LA CALERA
-38.74624,-68.91831,0.005091365909,5.09,No asignado,
-38.40379,-68.9098,0.0,0.0,YPF S.A.,LOMA CAMPANA
-38.34277,-68.90232,0.003187178093,3.19,YPF S.A.,LOMA CAMPANA
-38.0506,-68.85363,0.007786529016,7.79,TOTAL AUSTRAL S.A.,SAN ROQUE
-38.74282,-68.83895,0.00025823419162,0.26,No asignado,
-38.16659,-68.83575,0.028503641592,28.5,PAN AMERICAN ENERGY SL,BANDURRIA CENTRO
-38.27672,-68.80316,0.0016810286982,1.68,YPF S.A.,BANDURRIA SUR
-38.3053,-68.79613,0.002678725427,2.68,YPF S.A.,LOMA CAMPANA
-38.31911,-68.77689,0.03749023866,37.49,YPF S.A.,LOMA CAMPANA
-38.41606,-68.76985,0.003803062739,3.8,No asignado,
-38.28419,-68.74978,0.025308391424,25.31,YPF S.A.,BANDURRIA SUR
-38.35963,-68.7433,0.05644640606,56.45,YPF S.A.,LOMA CAMPANA
