mes,area,empresa,cuenca,provincia,prod_gas_mm3,prod_pet_m3,prod_agua_m3,pozos_activos,pozos_no_conv
2025-01,FORTIN DE PIEDRA,TECPETROL S.A.,NEUQUINA,Neuquén,400.0,35283.53,96649.48,132,169
2025-01,AGUADA PICHANA ESTE,TOTAL AUSTRAL S.A.,NEUQUINA,Neuquén,368.72,8984.65,38618.06,271,123
2025-01,LA CALERA,PLUSPETROL S.A.,NEUQUINA,Neuquén,283.74,118595.88,106000.16,73,97
2025-01,AGUADA PICHANA OESTE,PAN AMERICAN ENERGY SL,NEUQUINA,Neuquén,202.38,0.0,20703.58,44,47
2025-01,SIERRA CHATA,PAMPA ENERGIA S.A.,NEUQUINA,Neuquén,174.6,720.95,7827.29,68,44
2025-01,EL MANGRULLO,PAMPA ENERGIA S.A.,NEUQUINA,Neuquén,166.14,137.47,10909.11,95,129
2025-01,LOMA LA LATA - SIERRA BARROSA,YPF S.A.,NEUQUINA,Neuquén,164.07,22134.22,153067.48,532,227
2025-01,RIO NEUQUEN,YPF S.A.,NEUQUINA,Neuquén,144.64,11180.52,12507.9,144,119
2025-01,AGUADA DE LA ARENA,YPF S.A.,NEUQUINA,Neuquén,143.43,1103.06,19292.38,32,34
2025-01,RINCON DEL MANGRULLO,YPF S.A.,NEUQUINA,Neuquén,133.9,784.76,7015.68,116,189
2025-01,LOMA CAMPANA,YPF S.A.,NEUQUINA,Neuquén,95.18,431768.78,109931.32,679,821
2025-01,EL OREJANO,YPF S.A.,NEUQUINA,Neuquén,66.89,107.57,6917.61,32,95
2025-01,SAN ROQUE,TOTAL AUSTRAL S.A.,NEUQUINA,Neuquén,51.91,2709.45,18403.42,32,10
2025-01,BANDURRIA SUR,YPF S.A.,NEUQUINA,Neuquén,51.7,293170.71,151681.79,141,154
2025-01,LA AMARGA CHICA,YPF S.A.,NEUQUINA,Neuquén,40.09,320538.3,126255.21,236,251
2025-01,LINDERO ATRAVESADO,PAN AMERICAN ENERGY SL,NEUQUINA,Neuquén,35.06,66258.51,14133.73,196,164
2025-01,AGUADA DE CASTRO,PAN AMERICAN ENERGY SL,NEUQUINA,Neuquén,33.82,0.0,13174.11,9,10
2025-01,BAJADA DEL PALO OESTE,VISTA ENERGY ARGENTINA SAU,NEUQUINA,Neuquén,32.98,260335.79,66104.19,126,125
2025-01,CENTENARIO CENTRO,PLUSPETROL S.A.,NEUQUINA,Neuquén,29.62,1090.56,2289.63,247,138
2025-01,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,NEUQUINA,Neuquén,23.77,50992.58,547767.78,289,30
2025-01,ESTACION FERNANDEZ ORO,YPF S.A.,NEUQUINA,Rio Negro,23.75,6137.31,4888.16,169,199
2025-01,AGUA DEL CAJON,CAPEX S.A.,NEUQUINA,Neuquén,21.34,8877.48,6158.71,341,155
2025-01,EL PORTON_NEUQUEN,YPF S.A.,NEUQUINA,Neuquén,18.8,1241.47,252.65,11,0
2025-01,LA RIBERA BLOQUE I,YPF S.A.,NEUQUINA,Neuquén,18.66,2701.77,1975.47,19,20
2025-01,AGUA SALADA,TECPETROL S.A.,NEUQUINA,Rio Negro,16.0,4536.06,16276.18,48,16
2025-01,BAJO DEL CHOIQUE - LA INVERNADA,EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,NEUQUINA,Neuquén,15.48,30306.86,20240.26,17,29
2025-01,LOMA NEGRA,CAPEX S.A.,NEUQUINA,Rio Negro,13.1,6428.93,61229.05,70,17
2025-01,LA ANGOSTURA SUR I,YPF S.A.,NEUQUINA,Neuquén,11.06,48478.56,31688.31,22,23
2025-01,PUESTO ZUÑIGA,CAPEX S.A.,NEUQUINA,Rio Negro,10.88,1821.22,309.57,10,0
2025-01,LOS TOLDOS I NORTE,TECPETROL S.A.,NEUQUINA,Neuquén,10.28,10513.87,3666.73,4,7
2025-01,CHIHUIDO DE LA SIERRA NEGRA,YPF S.A.,NEUQUINA,Neuquén,9.97,33190.63,1154771.46,690,3
2025-01,MEDANITO,PETROQUIMICA COMODORO RIVADAVIA S.A.,NEUQUINA,La Pampa,9.02,18695.94,40408.92,473,0
2025-01,ENTRE LOMAS,Petrolera Aconcagua Energia S.A.,NEUQUINA,Rio Negro,8.7,13015.42,178707.62,300,7
2025-01,PAMPA DE LAS YEGUAS I,EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,NEUQUINA,Neuquén,8.2,26.78,1159.36,4,5
2025-01,AL SUR DE LA DORSAL,OILSTONE ENERGIA S.A.,NEUQUINA,Neuquén,8.06,1610.19,84228.21,112,25
2025-01,PASO DE LAS BARDAS NORTE,YPF S.A.,NEUQUINA,Mendoza,7.28,986.56,1612.99,15,4
2025-01,CERRO FORTUNOSO,YPF S.A.,NEUQUINA,Mendoza,6.64,11957.27,75624.04,160,0
2025-01,CRUZ DE LORENA,SHELL ARGENTINA S.A.,NEUQUINA,Neuquén,6.36,56385.01,6462.17,59,60
2025-01,AL NORTE DE LA DORSAL,YPF S.A.,NEUQUINA,Neuquén,6.27,2324.26,15669.41,161,40
2025-01,CHIHUIDO DE LA SALINA,YPF S.A.,NEUQUINA,Mendoza,6.04,1557.32,40879.25,28,0
2025-01,LA ESCALONADA,TOTAL AUSTRAL S.A.,NEUQUINA,Neuquén,5.96,14182.86,6762.39,5,8
2025-01,SIERRAS BLANCAS,SHELL ARGENTINA S.A.,NEUQUINA,Neuquén,5.12,51475.11,4732.2,38,47
2025-01,OCTOGONO,YPF S.A.,NEUQUINA,Neuquén,4.69,2532.55,2618.78,67,13
2025-01,AGUADA DEL CHAÑAR,YPF S.A.,NEUQUINA,Neuquén,4.32,59455.51,56090.96,33,39
2025-01,COIRON AMARGO SUR OESTE,SHELL ARGENTINA S.A.,NEUQUINA,Neuquén,4.32,42922.37,2995.95,35,35
2025-01,ANTICLINAL CAMPAMENTO,OILSTONE ENERGIA S.A.,NEUQUINA,Neuquén,4.04,163.4,1567.16,53,22
2025-01,BAJO DEL TORO NORTE,YPF S.A.,NEUQUINA,Neuquén,4.01,19709.15,10227.07,16,20
2025-01,PUNTA SENILLOSA,TECPETROL S.A.,NEUQUINA,Neuquén,3.96,239.78,299.05,21,13
2025-01,CHIHUIDO DE LA SALINA SUR,YPF S.A.,NEUQUINA,Mendoza,3.87,1342.2,3285.74,18,0
